rank,city,state,population,growth
612,Huntington Park,California,58879,-0.04
613,La Mesa,California,58642,0.07
614,Orland Park,Illinois,58590,0.14
615,Auburn,Alabama,58582,0.26
616,Lakeville,Minnesota,58562,0.34
617,Owensboro,Kentucky,58416,0.08
618,Moore,Oklahoma,58414,0.42
619,Jupiter,Florida,58298,0.46
620,Idaho Falls,Idaho,58292,0.14
621,Dubuque,Iowa,58253,0.01
622,Bartlett,Tennessee,58226,0.32
623,Rowlett,Texas,58043,0.29
624,Novi,Michigan,57960,0.22
625,White Plains,New York,57866,0.09
626,Arcadia,California,57639,0.08
627,Redmond,Washington,57530,0.26
628,Lake Elsinore,California,57525,0.97
629,Ocala,Florida,57468,0.21
630,Tinley Park,Illinois,57282,0.16
631,Port Orange,Florida,57203,0.23
632,Medford,Massachusetts,57170,0.03
633,Oak Lawn,Illinois,57073,0.03
634,Rocky Mount,North Carolina,56954,-0.03
635,Kokomo,Indiana,56895,0.21
636,Coconut Creek,Florida,56792,0.28
637,Bowie,Maryland,56759,0.09
638,Berwyn,Illinois,56758,0.05
639,Midwest City,Oklahoma,56756,0.05
640,Fountain Valley,California,56707,0.03
641,Buckeye,Arizona,56683,4.81
642,Dearborn Heights,Michigan,56620,-0.03
643,Woodland,California,56590,0.14
644,Noblesville,Indiana,56540,0.88
645,Valdosta,Georgia,56481,0.22
646,Diamond Bar,California,56449,0
647,Manhattan,Kansas,56143,0.23
648,Santee,California,56105,0.06
649,Taunton,Massachusetts,56069,0
650,Sanford,Florida,56002,0.43
651,Kettering,Ohio,55870,-0.03
652,New Brunswick,New Jersey,55831,0.16
653,Decatur,Alabama,55816,0.03
654,Chicopee,Massachusetts,55717,0.02
655,Anderson,Indiana,55670,-0.07
656,Margate,Florida,55456,0.03
657,Weymouth Town,Massachusetts,55419,
658,Hempstead,New York,55361,0.04
659,Corvallis,Oregon,55298,0.12
660,Eastvale,California,55191,
661,Porterville,California,55174,0.2
662,West Haven,Connecticut,55046,0.05
663,Brentwood,California,55000,1.22
664,Paramount,California,54980,-0.01
665,Grand Forks,North Dakota,54932,0.12
666,Georgetown,Texas,54898,0.92
667,St. Peters,Missouri,54842,0.07
668,Shoreline,Washington,54790,0.03
669,Mount Prospect,Illinois,54771,-0.03
670,Hanford,California,54686,0.3
671,Normal,Illinois,54664,0.2
672,Rosemead,California,54561,0.02
673,Lehi,Utah,54382,1.76
674,Pocatello,Idaho,54350,0.05
675,Highland,California,54291,0.21
676,Novato,California,54194,0.13
677,Port Arthur,Texas,54135,-0.06
678,Carson City,Nevada,54080,0.03
679,San Marcos,Texas,54076,0.49
680,Hendersonville,Tennessee,54068,0.32
681,Elyria,Ohio,53956,-0.04
682,Revere,Massachusetts,53756,0.13
683,Pflugerville,Texas,53752,1.23
684,Greenwood,Indiana,53665,0.46
685,Bellevue,Nebraska,53663,0.21
686,Wheaton,Illinois,53648,-0.03
687,Smyrna,Georgia,53438,0.2
688,Sarasota,Florida,53326,0.01
689,Blue Springs,Missouri,53294,0.1
690,Colton,California,53243,0.11
691,Euless,Texas,53224,0.15
692,Castle Rock,Colorado,53063,1.54
693,Cathedral City,California,52977,0.23
694,Kingsport,Tennessee,52962,0.17
695,Lake Havasu City,Arizona,52844,0.25
696,Pensacola,Florida,52703,-0.06
697,Hoboken,New Jersey,52575,0.36
698,Yucaipa,California,52536,0.27
699,Watsonville,California,52477,0.13
700,Richland,Washington,52413,0.35
701,Delano,California,52403,0.32
702,Hoffman Estates,Illinois,52398,0.05
703,Florissant,Missouri,52363,-0.03
704,Placentia,California,52206,0.12
705,West New York,New Jersey,52122,0.13
706,Dublin,California,52105,0.7
707,Oak Park,Illinois,52066,-0.01
708,Peabody,Massachusetts,52044,0.08
709,Perth Amboy,New Jersey,51982,0.1
710,Battle Creek,Michigan,51848,-0.03
711,Bradenton,Florida,51763,0.03
712,Gilroy,California,51701,0.24
713,Milford,Connecticut,51644,0.02
714,Albany,Oregon,51583,0.26
715,Ankeny,Iowa,51567,0.87
716,La Crosse,Wisconsin,51522,-0.01
717,Burlington,North Carolina,51510,0.12
718,DeSoto,Texas,51483,0.36
719,Harrisonburg,Virginia,51395,0.27
720,Minnetonka,Minnesota,51368,0
721,Elkhart,Indiana,51265,-0.03
722,Lakewood,Ohio,51143,-0.09
